year,antifreeze_pct,diesel_fuel_pct,fuel_oil_pct,gasoline_pct,transformer_oil_pct,total_spills
1996,6.682161533991865,7.669959325973272,24.11388727484021,8.454386984311448,4.299825682742592,3442
1997,7.166759620747351,5.479643056330173,27.830451756832126,7.348020078081428,3.485778025655326,7172
1998,8.757870635374928,6.044647967945049,30.440755580995994,8.32283915283343,4.453348597595879,8735
1999,8.545517963027555,5.894663411231252,34.856412045111036,8.243227531682361,6.231833507731659,8601
2000,8.310019687079059,4.952854626463579,36.53507408558699,7.1909646668738985,6.206610713915657,9651
2001,6.822761731119854,4.346991651472988,36.32089050954803,5.728816812206122,6.189425199117167,10421
2002,9.430322287789378,5.276895142986836,28.290966863368133,7.035860190649116,8.454380390376759,8812
2003,10.105544098022564,5.932306199199321,27.9631202232197,7.654979983015893,7.9340046099720976,8243
2004,11.173314672264988,6.403079076277117,25.69395847912293,7.895964543970142,7.930954047119197,8574
2005,12.360218891268142,6.542945515108256,23.340471092077088,8.137044967880087,10.314061384725196,8406
2006,11.80187010361385,5.9893858984078845,21.278746525145312,8.200657063431894,10.79100328531716,7914
2007,14.176810525021516,5.44694454690766,17.189229066765034,9.00036886757654,9.123324726423213,8133
2008,12.784234461849419,5.141485598787266,16.763516927741286,9.03233956543709,10.080848913592725,7916
2009,14.114898295766906,5.126443100604728,15.94282572842221,9.771852666300166,9.153380978559648,7276
2010,15.366336633663366,4.884488448844884,14.864686468646864,9.755775577557756,12.633663366336634,7575
2011,12.533626803619466,5.062362435803375,15.321594521887993,8.143800440205428,17.119100024455857,8178
2012,14.132003674058522,5.839128723264663,14.210733499540742,9.565673796089753,15.247342868389977,7621
2013,17.40961231305358,5.532162044431538,16.364164367649195,9.234790184405401,9.670393494990561,6887
2014,15.050715990453462,6.1754176610978515,16.84069212410501,7.6819809069212415,8.09964200477327,6704
2015,15.090252707581229,5.675090252707581,16.418772563176894,9.444043321299638,8.88086642599278,6925
2016,15.20698394818361,5.392847085328077,15.756125035201352,9.546606589693043,9.391720642072656,7102
2017,15.28332593578932,5.799674508063323,16.363367362035806,10.001479508803078,9.646397396064508,6759
2018,12.875912408759124,6.642335766423358,15.153284671532846,9.781021897810218,13.284671532846716,6850
2019,13.154492566257273,6.9812540400775696,15.319974143503556,8.322559793148027,8.225597931480284,6188
2020,10.787172011661808,4.527525295832619,11.456010975818899,5.453610015434745,14.114217115417595,5831
2021,13.901423116973275,4.061089899340507,11.228740020826102,5.83130857341201,8.03540437348143,5762
2022,9.925558312655088,4.507857733664186,11.9520264681555,6.162117452440033,6.162117452440033,2418
