"","name","url"
"1","Arkansas"," https://arkansas.nil.store/ "
"2","Auburn"," https://auburn.nil.store "
"3","Baylor"," https://nil.store/pages/baylor "
"4","Belmont"," https://nil.store/pages/belmont "
"5","Boise State"," https://nil.store/pages/boise-state "
"6","BYU"," https://nil.store/pages/byu "
"7","California Baptist"," https://nil.store/pages/cal-baptist "
"8","Clemson"," https://nil.store/pages/clemson "
"9","Colorado"," https://the-colorado-nil-store.myshopify.com "
"10","Creighton"," https://nil.store/pages/creighton "
"11","Dayton"," https://nil.store/pages/dayton "
"12","DePaul"," https://depaul.nil.store "
"13","Duke"," https://nil.store/pages/duke "
"14","Duquesne"," https://nil.store/pages/duquesne "
"15","East Carolina"," https://nil.store/pages/ecu "
"16","ETSU"," https://nil.store/pages/etsu "
"17","Florida"," https://nil.store/pages/florida "
"18","Florida Atlantic"," https://nil.store/pages/store-coming-soon "
"19","FGCU"," https://fgcu.nil.store "
"20","Florida State"," https://nil.shop "
"21","Georgetown"," https://nil.store/pages/georgetown "
"22","Georgia Southern"," https://nil.store/pages/georgia-southern "
"23","Gonzaga"," https://nil.store/pages/gonzaga "
"24","Houston"," https://nil.store/pages/houston "
"25","Illinois"," https://illinois.nil.store "
"26","Indiana"," https://indiana.nil.store "
"27","Iowa"," https://the-iowa-nil-store.myshopify.com "
"28","Iowa State"," https://iowastate.nil.store "
"29","Louisiana"," https://nil.store/pages/louisiana "
"30","Louisville"," https://the-louisville-nil-store.myshopify.com "
"31","Loyola"," https://loyola-nil-store.myshopify.com "
"32","LSU"," https://lsu.nil.store "
"33","Marquette"," https://3a6702.myshopify.com "
"34","Maryland"," https://md.nil.store "
"35","Michigan State"," https://msu.nil.store "
"36","Mississippi State"," https://the-mississippi-state-nil-store.myshopify.com "
"37","Mizzou"," https://mizzou.nil.store "
"38","Nebraska"," https://nebraska.nil.store "
"39","Nevada"," https://nil.store/pages/nevada "
"40","North Carolina"," https://the-unc-nil-store.myshopify.com "
"41","North Dakota State"," https://the-ndsu-nil-store.myshopify.com "
"42","Northwestern"," https://northwestern.nil.store "
"43","Ohio State"," https://the-ohio-state-nil-store.myshopify.com "
"44","Ole Miss"," https://olemiss.nil.store "
"45","Penn State"," https://pennstate.nil.store "
"46","Pitt"," https://nil.store/pages/pitt "
"47","Purdue"," https://purdue.nil.store "
"48","Rutgers"," https://rutgers.nil.store "
"49","Saint Louis"," https://nil.store/pages/saint-louis "
"50","SDSU"," https://sdsu.nil.store "
"51","Stephen F. Austin"," https://nil.store/sfa "
"52","Syracuse"," https://syracuse.nil.store "
"53","Temple"," https://nil.store/pages/temple "
"54","Toledo"," https://toledo.nil.store "
"55","UC Davis"," https://nil.store/pages/uc-davis "
"56","UCLA"," https://ucla.nil.store "
"57","UConn"," https://uconn.nil.store "
"58","Utah"," https://the-utah-nil-store.myshopify.com "
"59","Utah State"," https://nil.store/pages/store-coming-soon "
"60","Virginia"," https://nil.store/pages/virginia "
"61","Virginia Tech"," https://maroonandorange.nil.store "
"62","Wake Forest"," https://nil.store/pages/wake-forest "
"63","Washington"," https://wash.nil.store/ "
"64","Western Kentucky"," https://the-wku-nil-store.myshopify.com "
"65","West Virginia"," https://wvu.nil.store "
"66","Wichita State"," https://nil.store/pages/wichita-state "
"67","Winthrop"," https://nil.store/pages/winthrop "
"68","Xavier"," https://xavier.nil.store/ "
